,date_time,location,name,text
31,Thu Oct 01 18:22:08 +0000 2015,Rhode Island,Hillary Rodham Clinton,"RT @ForeignPolicyI: .@LincolnChafee-Regarding Assad, our experience toppling leaders has not been a good one. Cold War experience was to wa…"
32,Thu Oct 01 18:21:53 +0000 2015,Rhode Island,Hillary Rodham Clinton,RT @ForeignPolicyI: .@LincolnChafee: It wasn't that long ago when we thought that we were on the verge of lasting peace between world power…
33,Thu Oct 01 18:20:45 +0000 2015,Rhode Island,Hillary Rodham Clinton,RT @ForeignPolicyI: .@LincolnChafee: I would work to lift sanctions against Russia for its actions in Ukraine. #FPIForum
34,Thu Oct 01 17:56:41 +0000 2015,Rhode Island,Hillary Rodham Clinton,RT @ForeignPolicyI: Next at the #FPIForum - Democratic Presidential candidate @LincolnChafee talks to @Adesnik.
35,Thu Oct 01 16:01:48 +0000 2015,Rhode Island,Hillary Rodham Clinton,Looking forward to taking part in the Foreign Policy Institute's Annual Forum 2:15 pm today at the Newseum in DC.  #ProsperitythroughPeace
36,Thu Oct 01 14:59:07 +0000 2015,Rhode Island,Hillary Rodham Clinton,"I want to wish @NGRPresident @MBuhari and all of Nigeria happy Independence Day! Unity &amp; Faith, Peace &amp; Progress: words worth celebrating!"
37,Thu Oct 01 13:01:11 +0000 2015,Rhode Island,Hillary Rodham Clinton,"We must strengthen the UN. More peacekeepers &amp; resources can only be good, why stop at here? http://t.co/6U5kxb5ydT #GetGrounded #chafee2016"
38,Thu Oct 01 01:19:32 +0000 2015,Rhode Island,Hillary Rodham Clinton,RT @ColmesRadio: .@AlanColmes talks to @LincolnChafee about his run for the White House next! http://t.co/gDotOOodm6 http://t.co/bG2Jeehc7P
39,Wed Sep 30 22:00:07 +0000 2015,Rhode Island,Hillary Rodham Clinton,What have we taught the Saudis with our drone war? Wedding parties and civilians are NOT targets http://t.co/OePEOvYXCB  #chafee2016
40,Wed Sep 30 18:00:26 +0000 2015,Rhode Island,Hillary Rodham Clinton,Hear more about my plan to create a new tax bracket for the wealthy on @fbncountdown with @LizClaman today at 3pm ET. #chafee2016
41,Wed Sep 30 13:48:41 +0000 2015,Rhode Island,Hillary Rodham Clinton,RT @LizClaman: Democratic Presidential candidate &amp; fmr. Gov. of Rhode Island @LincolnChafee joins us 3pm ET today - tune in! http://t.co/XR…
42,Wed Sep 30 13:00:35 +0000 2015,Rhode Island,Hillary Rodham Clinton,"Trust, cooperation starts with respect &amp; a handshake.@POTUS @JZarif http://t.co/XlyTDQV1wG #GetGrounded #ProsperitythroughPeace #Chafee2016"
43,Tue Sep 29 19:09:23 +0000 2015,Rhode Island,Hillary Rodham Clinton,"Mr. @Snowden-Fed court ruled you're right! I'm the only presidential candidate who has vowed to bring you home, charges dropped. #chafee2016"
44,Tue Sep 29 12:21:12 +0000 2015,Rhode Island,Hillary Rodham Clinton,Something is wrong- we arm and train fighters who then join the other side. Why? That is the question. #GetGrounded #chafee2016
45,Sun Sep 27 22:00:18 +0000 2015,Rhode Island,Hillary Rodham Clinton,"By failing to strengthen and fix our intl. institutions, we retreat to a disastrous paradigm of unipolarity 
http://t.co/9An8N8QBDw"
46,Sun Sep 27 19:00:36 +0000 2015,Rhode Island,Hillary Rodham Clinton,"French crops die from WWI we continue to reap the seeds of war, ever sown deep. Why do we keep lusting for conflict? http://t.co/lvxCu0yb2U"
47,Sun Sep 27 16:00:07 +0000 2015,Rhode Island,Hillary Rodham Clinton,Peace in Colombia w/ FARC looks promising. Accountability remains key. Fingers crossed. #ProsperitythroughPeace http://t.co/YyESCVvfYh
48,Sun Sep 27 13:04:48 +0000 2015,Rhode Island,Hillary Rodham Clinton,ISIS recruits grow rapidly. We need to understand why people buy what #ISIS sells. #GetGrounded #chafee2016  #ProperitythroughPeace
49,Sat Sep 26 20:09:36 +0000 2015,Rhode Island,Hillary Rodham Clinton,A great day at @HamptonDems Community Picnic! #chafee2016 #nhpolitics #prosperitythroughpeace http://t.co/C98waStQuW
50,Sat Sep 26 19:00:22 +0000 2015,Rhode Island,Hillary Rodham Clinton,"Sam Nunn is right: talking and engagement, NOT silence is the key to progress w/ Russia. Good looks @politicalinsidr http://t.co/hhFEw2zGtV"
51,Sat Sep 26 15:30:21 +0000 2015,Rhode Island,Hillary Rodham Clinton,"Hope to see you @HamptonDems Community Picnic today at noon at 39 Mill Rd, Hampton, NH.  #chafee2016 #ProsperitythroughPeace #nhpolitics"
52,Sat Sep 26 13:00:21 +0000 2015,Rhode Island,Hillary Rodham Clinton,Every nation in the world must reevaluate how its energy subsidies work against a sustainable future http://t.co/FWqYbUjhRq #GetGrounded
53,Fri Sep 25 22:00:00 +0000 2015,Rhode Island,Hillary Rodham Clinton,".@SteveKingIA how can you say the refugees crisis is a calculated effort by ""Islam"" to invade non-Muslim countries? Fear&gt;anger&gt;hate&gt;darkside"
54,Fri Sep 25 20:52:22 +0000 2015,Rhode Island,Hillary Rodham Clinton,"“@ReutersWorld: Putin to meet Obama on September 28: Kremlin http://t.co/VAX144c7VK”. Let's start a healthy, honest dialogue. #chafee2016"
55,Fri Sep 25 16:00:44 +0000 2015,Rhode Island,Hillary Rodham Clinton,"Burkina Faso political turmoil presents test for the nation, region, and world. Diplomacy is the only real solution. http://t.co/wAgHzr3EiE"
56,Fri Sep 25 13:28:10 +0000 2015,Rhode Island,Hillary Rodham Clinton,With climate change comes investing change.  Watch for water as a high value commodity. #GetGrounded #chafee2016 http://t.co/8C0AnyNbLk
